"customer_id","sum_price","count_customer","max_price","min_price"
2183,19071.32,14,2005.66,230.91
2183,19071.32,14,2005.66,230.91
2183,19071.32,14,2005.66,230.91
2183,19071.32,14,2005.66,230.91
2183,19071.32,14,2005.66,230.91
2183,19071.32,14,2005.66,230.91
2183,19071.32,14,2005.66,230.91
2183,19071.32,14,2005.66,230.91
2183,19071.32,14,2005.66,230.91
2183,19071.32,14,2005.66,230.91
2183,19071.32,14,2005.66,230.91
2183,19071.32,14,2005.66,230.91
2183,19071.32,14,2005.66,230.91
2183,19071.32,14,2005.66,230.91
2476,14578.689,14,1807.45,12.01
2476,14578.689,14,1807.45,12.01
2476,14578.689,14,1807.45,12.01
2476,14578.689,14,1807.45,12.01
2476,14578.689,14,1807.45,12.01
2476,14578.689,14,1807.45,12.01
2476,14578.689,14,1807.45,12.01
2476,14578.689,14,1807.45,12.01
2476,14578.689,14,1807.45,12.01
2476,14578.689,14,1807.45,12.01
2476,14578.689,14,1807.45,12.01
2476,14578.689,14,1807.45,12.01
2476,14578.689,14,1807.45,12.01
2476,14578.689,14,1807.45,12.01
1068,14254.55,14,1812.75,202.62
1068,14254.55,14,1812.75,202.62
1068,14254.55,14,1812.75,202.62
1068,14254.55,14,1812.75,202.62
1068,14254.55,14,1812.75,202.62
1068,14254.55,14,1812.75,202.62
1068,14254.55,14,1812.75,202.62
1068,14254.55,14,1812.75,202.62
1068,14254.55,14,1812.75,202.62
1068,14254.55,14,1812.75,202.62
1068,14254.55,14,1812.75,202.62
1068,14254.55,14,1812.75,202.62
1068,14254.55,14,1812.75,202.62
1068,14254.55,14,1812.75,202.62
1129,18349.271,13,1992.93,290.62
1129,18349.271,13,1992.93,290.62
1129,18349.271,13,1992.93,290.62
1129,18349.271,13,1992.93,290.62
1129,18349.271,13,1992.93,290.62
1129,18349.271,13,1992.93,290.62
1129,18349.271,13,1992.93,290.62
1129,18349.271,13,1992.93,290.62
1129,18349.271,13,1992.93,290.62
1129,18349.271,13,1992.93,290.62
1129,18349.271,13,1992.93,290.62
1129,18349.271,13,1992.93,290.62
1129,18349.271,13,1992.93,290.62
1302,17035.83,13,1977.36,71.16
1302,17035.83,13,1977.36,71.16
1302,17035.83,13,1977.36,71.16
1302,17035.83,13,1977.36,71.16
1302,17035.83,13,1977.36,71.16
1302,17035.83,13,1977.36,71.16
1302,17035.83,13,1977.36,71.16
1302,17035.83,13,1977.36,71.16
1302,17035.83,13,1977.36,71.16
1302,17035.83,13,1977.36,71.16
1302,17035.83,13,1977.36,71.16
1302,17035.83,13,1977.36,71.16
1302,17035.83,13,1977.36,71.16
1140,16199.241,13,2083.94,183.86
1140,16199.241,13,2083.94,183.86
1140,16199.241,13,2083.94,183.86
1140,16199.241,13,2083.94,183.86
1140,16199.241,13,2083.94,183.86
1140,16199.241,13,2083.94,183.86
1140,16199.241,13,2083.94,183.86
1140,16199.241,13,2083.94,183.86
1140,16199.241,13,2083.94,183.86
1140,16199.241,13,2083.94,183.86
1140,16199.241,13,2083.94,183.86
1140,16199.241,13,2083.94,183.86
1140,16199.241,13,2083.94,183.86
1672,14908.461,13,1977.36,363.01
1672,14908.461,13,1977.36,363.01
1672,14908.461,13,1977.36,363.01
1672,14908.461,13,1977.36,363.01
1672,14908.461,13,1977.36,363.01
1672,14908.461,13,1977.36,363.01
1672,14908.461,13,1977.36,363.01
1672,14908.461,13,1977.36,363.01
1672,14908.461,13,1977.36,363.01
1672,14908.461,13,1977.36,363.01
1672,14908.461,13,1977.36,363.01
1672,14908.461,13,1977.36,363.01
1672,14908.461,13,1977.36,363.01
3048,14756.089,13,1890.39,543.39
