"customer_id","sum_price","count_customer","max_price","min_price"
2183,19071.322,14,2005.66,230.91
2476,14578.691,14,1807.45,12.01
1068,14254.55,14,1812.75,202.62
1129,18349.27,13,1992.93,290.62
1302,17035.83,13,1977.36,71.16
1140,16199.24,13,2083.94,183.86
1672,14908.461,13,1977.36,363.01
3048,14756.089,13,1890.39,543.39
2464,14574.061,13,1842.92,230.91
2912,14149.729,13,1992.93,12.01
2755,14088.24,13,2091.47,71.49
3326,14078.189,13,2005.66,12.01
2548,14027.08,13,1977.36,227.88
637,13899.73,13,2005.66,60.34
3232,13451.279,13,1812.75,230.91
2072,11845.44,13,2091.47,175.89
377,11607.86,13,1386.84,360.4
1946,11237.38,13,2005.66,12.01
1913,8621.87,13,1977.36,12.01
1597,18052.68,12,2091.47,360.4
936,17160.24,12,2005.66,183.86
2309,16122.341,12,2091.47,290.62
1103,15447.92,12,1977.36,230.91
255,14949.91,12,1810.0,441.49
322,14782.2295,12,2005.66,12.01
590,14475.62,12,2083.94,71.49
1076,14390.1,12,1977.36,586.45
1821,14387.59,12,1890.39,100.35
1482,14366.26,12,1977.36,441.49
2240,13961.45,12,1890.39,60.34
1591,13908.319,12,1793.43,71.49
2914,13824.53,12,1992.93,235.63
1611,13692.47,12,2083.94,363.01
832,13562.129,12,1873.97,12.01
1762,12375.52,12,1842.92,230.91
963,12068.12,12,1894.19,227.88
2659,11948.4795,12,1793.43,71.49
177,11826.341,12,1890.39,290.62
3020,11413.109,12,1775.81,12.01
1783,11248.251,12,1807.45,60.34
2826,11244.569,12,1807.45,290.62
39,11237.19,12,1793.43,202.62
2036,10761.289,12,1762.96,363.01
2155,10114.46,12,1765.3,12.01
1745,10025.74,12,1894.19,12.01
25,9996.33,12,1812.75,60.34
1227,9340.67,12,2083.94,71.16
2788,17258.94,11,2083.94,183.86
1887,17133.932,11,2091.47,688.63
2874,15091.91,11,2005.66,544.05
1329,14818.119,11,1793.43,543.39
3060,14609.221,11,1992.93,533.51
445,14593.221,11,1894.19,543.39
799,14399.89,11,1793.43,586.45
1237,14112.399,11,2091.47,60.34
2637,13895.709,11,2091.47,71.49
3420,13885.451,11,2005.66,71.49
1517,13750.081,11,2083.94,360.4
353,13721.09,11,2091.47,688.63
213,13555.56,11,1992.93,360.4
2184,13468.26,11,1793.43,202.62
2686,13237.88,11,1977.36,227.88
2616,13134.12,11,2091.47,235.63
1773,13096.0,11,2083.94,183.86
725,13048.821,11,2091.47,416.98
2379,13030.068,11,1945.43,495.72
1957,12822.04,11,2005.66,230.91
2999,12745.9795,11,1945.43,12.01
280,12587.58,11,1842.92,60.34
142,12474.74,11,1977.36,183.86
298,12420.5205,11,1890.39,358.39
1438,12392.711,11,2091.47,71.16
2750,12349.36,11,1890.39,183.86
3447,12339.371,11,1807.45,175.89
669,12187.94,11,1873.97,100.35
2454,11914.7295,11,2091.47,175.89
2459,11877.188,11,1842.92,235.63
2574,11811.561,11,1992.93,175.89
230,11755.601,11,1762.96,100.35
2537,11743.04,11,2091.47,71.49
2640,11643.471,11,1977.36,175.89
1084,11437.051,11,1992.93,183.86
2060,11179.22,11,2091.47,175.89
1473,11098.84,11,1762.96,71.49
3286,11050.25,11,1793.43,71.16
3217,10733.561,11,2083.94,202.62
3143,10532.28,11,1775.81,71.49
577,10515.0,11,1945.43,183.86
1797,10502.99,11,2091.47,60.34
714,10441.09,11,2083.94,100.35
1091,10303.809,11,1945.43,156.56
2307,10123.71,11,1762.96,235.63
1817,10054.07,11,1945.43,60.34
3251,9947.9795,11,1793.43,175.89
2560,9706.62,11,2091.47,12.01
2753,9649.8,11,1812.75,12.01
235,9629.61,11,1890.39,358.39
1519,9090.051,11,1458.17,71.49
1,9084.45,11,1720.7,71.49
2783,9019.439,11,2005.66,71.16
499,8960.43,11,1873.97,71.49
3296,8887.0,11,1765.3,175.89
1864,8863.49,11,1458.17,175.89
2358,8523.431,11,1458.17,71.49
1599,8164.8804,11,1769.64,12.01
1731,8015.9194,11,1289.85,71.49
1405,7668.829,11,1403.5,12.01
941,17898.459,10,2091.47,1057.51
729,15825.999,10,2091.47,586.45
2762,15071.261,10,1997.68,183.86
2860,14673.35,10,1812.75,175.89
